"","name","nchar","words"
"1","the Father of the heavens and of the earth, and all things that in them are",75,16
"2","Creator of all things from the beginning",40,7
"3","Jesus Christ, the Son of the living God",39,8
"4","the Lord Jesus Christ, their Redeemer",37,6
"5","God of Abraham, and Isaac, and Jacob",36,7
"6","Eternal Father of heaven and earth",34,6
"7","God, the Father of all things",29,6
"8","Lord, the Redeemer of all men",29,6
"9","Jesus Christ, the Son of God",28,6
"10","Our Father who art in heaven",28,6
"11","Lord and Savior Jesus Christ",28,5
"12","Christ, the Lord Omnipotent",27,4
"13","Only Begotten of the Father",27,5
"14","Son of the everlasting God",26,5
"15","Father of heaven and earth",26,5
"16","Jehovah, the Eternal Judge",26,4
"17","Son of the Eternal Father",25,5
"18","great Mediator of all men",25,5
"19","the beginning and the end",25,5
"20","Eternal Father of heaven",24,4
"21","God, the Eternal Father",23,4
"22","The Everlasting Father",22,3
"23","master of the vineyard",22,4
"24","Lord, the Almighty God",22,4
"25","Redeemer of the world",21,4
"26","Son of the living God",21,5
"27","Mighty One of Israel",20,4
"28","Son of righteousness",20,3
"29","Lord of the vineyard",20,4
"30","Son of our great God",20,5
"31","Son of Righteousness",20,3
"32","Lord their Redeemer",19,3
"33","Mighty One of Jacob",19,4
"34","The Prince of Peace",19,4
"35","Lord God Omnipotent",19,3
"36","Savior Jesus Christ",19,3
"37","God of our fathers",18,4
"38","Lord God Almighty",17,3
"39","Lord thy Redeemer",17,3
"40","Lord God of Hosts",17,4
"41","Holy One of Jacob",17,4
"42","Only Begotten Son",17,3
"43","Lord Jesus Christ",17,3
"44","Father of heaven",16,3
"45","the true Messiah",16,3
"46","Christ, the Lord",16,3
"47","Lord Omnipotent",15,2
"48","Supreme Creator",15,2
"49","Alpha and Omega",15,3
"50","heavenly Father",15,2
"51","God of Abraham",14,3
"52","Lord their God",14,3
"53","Eternal Father",14,2
"54","King of heaven",14,3
"55","Christ the Son",14,3
"56","God the Father",14,3
"57","God of Israel",13,3
"58","God of nature",13,3
"59","Lord of Hosts",13,3
"60","Lord your God",13,3
"61","good shepherd",13,2
"62","Supreme Being",13,2
"63","Most High God",13,3
"64","Lord our God",12,3
"65","God of Isaac",12,3
"66","God of Jacob",12,3
"67","Lord his God",12,3
"68","Lord thy God",12,3
"69","his Holy One",12,3
"70","Holy Messiah",12,2
"71","Lord Jehovah",12,2
"72","Jesus Christ",12,2
"73","Almighty God",12,2
"74","Christ Jesus",12,2
"75","Great Spirit",12,2
"76","Well Beloved",12,2
"77","Eternal Head",12,2
"78","Lamb of God",11,3
"79","Eternal God",11,2
"80","Lord my God",11,3
"81","Beloved Son",11,2
"82","Son of God",10,3
"83","Mighty God",10,2
"84","O Lord God",10,3
"85","Holy Child",10,2
"86","Wonderful",9,1
"87","Counselor",9,1
"88","Most High",9,2
"89","Lord God",8,4
"90","Redeemer",8,1
"91","Shepherd",8,1
"92","Holy God",8,2
"93","Holy One",8,2
"94","Almighty",8,1
"95","Lord God",8,4
"96","Messiah",7,1
"97","Creator",7,1
"98","Beloved",7,1
"99","Savior",6,1
"100","Father",6,1
"101","Christ",6,1
"102","Jesus",5,1
"103","Maker",5,1
"104","O God",5,2
"105","Being",5,1
"106","Lord",4,1
"107","Lamb",4,1
"108","King",4,1
"109","God",3,1
"110","One",3,1
"111","Son",3,1
"112","Man",3,1
